marketgroup,year,quarter,price,foodgroup
1,2004,1,0.37194640000000001,12
1,2004,2,0.36666369999999998,12
1,2004,3,0.36043239999999999,12
1,2004,4,0.36733450000000001,12
1,2005,1,0.34569030000000001,12
1,2005,2,0.36467909999999998,12
1,2005,3,0.38535580000000003,12
1,2005,4,0.35722179999999998,12
1,2006,1,0.41964069999999998,12
1,2006,2,0.4089912,12
1,2006,3,0.36600929999999998,12
1,2006,4,0.38619049999999999,12
1,2007,1,0.42741950000000001,12
1,2007,2,0.42631439999999998,12
1,2007,3,0.40015659999999997,12
1,2007,4,0.36985449999999997,12
1,2008,1,0.41732279999999999,12
1,2008,2,0.41241309999999998,12
1,2008,3,0.42674970000000001,12
1,2008,4,0.40174680000000002,12
1,2009,1,0.42282560000000002,12
1,2009,2,0.42304330000000001,12
1,2009,3,0.39608870000000002,12
1,2009,4,0.39310469999999997,12
1,2010,1,0.41622969999999998,12
1,2010,2,0.43967109999999998,12
1,2010,3,0.40986159999999999,12
1,2010,4,0.37442930000000002,12
2,2004,1,0.31667499999999998,12
2,2004,2,0.30598029999999998,12
2,2004,3,0.30865150000000002,12
2,2004,4,0.32582290000000003,12
2,2005,1,0.3238993,12
2,2005,2,0.34720220000000002,12
2,2005,3,0.33740160000000002,12
2,2005,4,0.31990950000000001,12
2,2006,1,0.309249,12
2,2006,2,0.36812590000000001,12
2,2006,3,0.34332639999999998,12
2,2006,4,0.34579919999999997,12
2,2007,1,0.41560049999999998,12
2,2007,2,0.40776449999999997,12
2,2007,3,0.37688650000000001,12
2,2007,4,0.3795346,12
2,2008,1,0.40670729999999999,12
2,2008,2,0.40291719999999998,12
2,2008,3,0.38450529999999999,12
2,2008,4,0.4342299,12
2,2009,1,0.44810109999999997,12
2,2009,2,0.4390249,12
2,2009,3,0.41020899999999999,12
2,2009,4,0.4134755,12
2,2010,1,0.43357889999999999,12
2,2010,2,0.45217950000000001,12
2,2010,3,0.4498374,12
2,2010,4,0.42528349999999998,12
3,2004,1,0.31718560000000001,12
3,2004,2,0.31922119999999998,12
3,2004,3,0.32012030000000002,12
3,2004,4,0.29427950000000003,12
3,2005,1,0.30971949999999998,12
3,2005,2,0.32303399999999999,12
3,2005,3,0.31699260000000001,12
3,2005,4,0.30552770000000001,12
3,2006,1,0.3460453,12
3,2006,2,0.34799720000000001,12
3,2006,3,0.362209,12
3,2006,4,0.32913039999999999,12
3,2007,1,0.37402360000000001,12
3,2007,2,0.38012109999999999,12
3,2007,3,0.37842809999999999,12
3,2007,4,0.34550989999999998,12
3,2008,1,0.35403889999999999,12
3,2008,2,0.38130049999999999,12
3,2008,3,0.36622870000000002,12
3,2008,4,0.36186269999999998,12
3,2009,1,0.37871769999999999,12
3,2009,2,0.38615270000000002,12
3,2009,3,0.37832710000000003,12
3,2009,4,0.35557889999999998,12
3,2010,1,0.37017499999999998,12
3,2010,2,0.40425309999999998,12
3,2010,3,0.38731300000000002,12
3,2010,4,0.37037179999999997,12
4,2004,1,0.33224789999999998,12
4,2004,2,0.33652900000000002,12
4,2004,3,0.33787499999999998,12
4,2004,4,0.32773930000000001,12
4,2005,1,0.32874160000000002,12
4,2005,2,0.34388259999999998,12
4,2005,3,0.36489110000000002,12
4,2005,4,0.33538820000000003,12
4,2006,1,0.3628825,12
4,2006,2,0.36869740000000001,12
4,2006,3,0.36697570000000002,12
4,2006,4,0.363842,12
4,2007,1,0.39109969999999999,12
4,2007,2,0.39315099999999997,12
4,2007,3,0.37975520000000001,12
4,2007,4,0.38598480000000002,12
4,2008,1,0.38630759999999997,12
4,2008,2,0.39248070000000002,12
4,2008,3,0.39855309999999999,12
4,2008,4,0.38325670000000001,12
4,2009,1,0.41146450000000001,12
4,2009,2,0.40863579999999999,12
4,2009,3,0.40304820000000002,12
4,2009,4,0.39646310000000001,12
4,2010,1,0.42565360000000002,12
4,2010,2,0.43340289999999998,12
4,2010,3,0.42385119999999998,12
4,2010,4,0.40371220000000002,12
5,2004,1,0.29530600000000001,12
5,2004,2,0.3023499,12
5,2004,3,0.28830869999999997,12
5,2004,4,0.27971629999999997,12
5,2005,1,0.28641630000000001,12
5,2005,2,0.30521720000000002,12
5,2005,3,0.28847909999999999,12
5,2005,4,0.27680280000000002,12
5,2006,1,0.30326389999999998,12
5,2006,2,0.31943149999999998,12
5,2006,3,0.30813950000000001,12
5,2006,4,0.2999812,12
5,2007,1,0.34533069999999999,12
5,2007,2,0.34780739999999999,12
5,2007,3,0.33363379999999998,12
5,2007,4,0.32827990000000001,12
5,2008,1,0.33722619999999998,12
5,2008,2,0.34351229999999999,12
5,2008,3,0.34688439999999998,12
5,2008,4,0.32182620000000001,12
5,2009,1,0.338528,12
5,2009,2,0.34566609999999998,12
5,2009,3,0.33420490000000003,12
5,2009,4,0.3235768,12
5,2010,1,0.35082380000000002,12
5,2010,2,0.36895250000000002,12
5,2010,3,0.3486995,12
5,2010,4,0.32693480000000003,12
6,2004,1,0.27738429999999997,12
6,2004,2,0.27035670000000001,12
6,2004,3,0.27237050000000002,12
6,2004,4,0.2414413,12
6,2005,1,0.27545720000000001,12
6,2005,2,0.28524650000000001,12
6,2005,3,0.27143430000000002,12
6,2005,4,0.26295950000000001,12
6,2006,1,0.28343950000000001,12
6,2006,2,0.30135420000000002,12
6,2006,3,0.29722779999999999,12
6,2006,4,0.28529080000000001,12
6,2007,1,0.3343602,12
6,2007,2,0.33097349999999998,12
6,2007,3,0.32306960000000001,12
6,2007,4,0.32074039999999998,12
6,2008,1,0.33104919999999999,12
6,2008,2,0.34142359999999999,12
6,2008,3,0.34691689999999997,12
6,2008,4,0.32962740000000001,12
6,2009,1,0.35056359999999998,12
6,2009,2,0.35706159999999998,12
6,2009,3,0.34573159999999997,12
6,2009,4,0.33155839999999998,12
6,2010,1,0.36167850000000001,12
6,2010,2,0.37766959999999999,12
6,2010,3,0.3613941,12
6,2010,4,0.33952290000000002,12
7,2004,1,0.28566530000000001,12
7,2004,2,0.31106719999999999,12
7,2004,3,0.29697000000000001,12
7,2004,4,0.31560670000000002,12
7,2005,1,0.31326219999999999,12
7,2005,2,0.32434039999999997,12
7,2005,3,0.3339394,12
7,2005,4,0.3063343,12
7,2006,1,0.3535124,12
7,2006,2,0.33937519999999999,12
7,2006,3,0.38938099999999998,12
7,2006,4,0.34971180000000002,12
7,2007,1,0.3655853,12
7,2007,2,0.36963950000000001,12
7,2007,3,0.38239640000000003,12
7,2007,4,0.35998940000000001,12
7,2008,1,0.38829520000000001,12
7,2008,2,0.40096850000000001,12
7,2008,3,0.39635300000000001,12
7,2008,4,0.3911308,12
7,2009,1,0.4139081,12
7,2009,2,0.4109159,12
7,2009,3,0.3929819,12
7,2009,4,0.395897,12
7,2010,1,0.40277279999999999,12
7,2010,2,0.4109659,12
7,2010,3,0.40586729999999999,12
7,2010,4,0.40383989999999997,12
8,2004,1,0.2987358,12
8,2004,2,0.30143819999999999,12
8,2004,3,0.28382170000000001,12
8,2004,4,0.29020240000000003,12
8,2005,1,0.30026389999999997,12
8,2005,2,0.30366120000000002,12
8,2005,3,0.29947400000000002,12
8,2005,4,0.2867035,12
8,2006,1,0.33360600000000001,12
8,2006,2,0.35509200000000002,12
8,2006,3,0.34821190000000002,12
8,2006,4,0.3493463,12
8,2007,1,0.37942140000000002,12
8,2007,2,0.3806408,12
8,2007,3,0.35460360000000002,12
8,2007,4,0.3655987,12
8,2008,1,0.38945089999999999,12
8,2008,2,0.39192349999999998,12
8,2008,3,0.39644489999999999,12
8,2008,4,0.36320619999999998,12
8,2009,1,0.38643260000000001,12
8,2009,2,0.40035880000000001,12
8,2009,3,0.37101329999999999,12
8,2009,4,0.34303939999999999,12
